speaker_id,text,audio_path,duration,source,language,gender
Q7FW1,Ọmọ ọ̀jọ̀gbọ́n fẹ̀yìntì ni mò ń fẹ́,/data/naijavoices/yoruba/20240326111846-233-4399-855005-omo-o-jo-gbo-n-fe-yinti-ni-mo.wav,2.28,naijavoices,yoruba,female
VJA5Q,Mamman Shata ɗan jihar Gombe ne,/data/naijavoices/hausa/20240216132916-162-1303-277920-mamman-shata-an-jihar-gombe-ne.wav,2.04,naijavoices,hausa,female
RQQ5B,Nwanyi ahụ si na ọbụ ọria obiri n'aja ọcha gbụrụ di ya,/data/naijavoices/igbo/20240114135403-8-2016-546859-nwanyi-ahu-si-na-obu-oria-obir.wav,4.26,naijavoices,igbo,male
TC5RQ,Ọ ga-abịa Abakaliki echi.,/data/naijavoices/igbo/20240128141533-20-731-173511-o-ga-abia-abakaliki-echi.wav,5.34,naijavoices,igbo,female
KY9FG,Ọka ikpe ga-enye mkpebiya maka okwu na-ese echi.,/data/naijavoices/igbo/20240203183910-34-2031-550573-oka-ikpe-ga-enye-mkpebiya-maka.wav,6.42,naijavoices,igbo,female
9HSFY,Fayọ̀ yóò ra sọ́kẹ́tì mẹ́jọ ní ọjà.,/data/naijavoices/yoruba/20240301185233-75-2840-649015-fayo-yoo-ra-so-ke-ti-me-jo-ni.wav,2.52,naijavoices,yoruba,male
WUV31,I ga achọriri ọrụ na ahịa mọlụ,/data/naijavoices/igbo/20240114115944-21-1849-379608-i-ga-achoriri-oru-na-ahia-molu.wav,2.82,naijavoices,igbo,male
DTN66,Dambe tsohon wasa ne tsakanin Hausawa.,/data/naijavoices/hausa/20240123174902-66-1890-474922-dambe-tsohon-wasa-ne-tsakanin.wav,2.7,naijavoices,hausa,female
22,Nyɛɛ ekome,/data/fisd/ga/GaFm22-NBHk5JwO-Tmp079-ntRDLe.wav,2.88,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
6N0US,Ụkọchukwu anyị na-akara ndị nọ n'ụlọ mkpọrọ aja maasị,/data/naijavoices/igbo/20231221065510-50-394-151144-kchukwu-any-na-akara-nd-n.wav,4.5,naijavoices,igbo,female
BN1ZC,Àwọn ẹlòmíràn má a n yún ara won tí wón báti wẹ̀ tàn,/data/naijavoices/yoruba/20240324114604-236-4480-874645-awon-elomiran-ma-a-n-yun-ara-w.wav,4.32,naijavoices,yoruba,female
CYSTJ,An raka wata amarya ɗakin mijinta.,/data/naijavoices/hausa/20240112094338-67-1866-469019-an-raka-wata-amarya-akin-mijin.wav,2.64,naijavoices,hausa,female
LRPZH,Ìbáraẹnisọ̀rọ̀ gbọ́dọ̀ wáyé láàrin ẹni méjì sí mẹ́ta.,/data/naijavoices/yoruba/20240311192038-94-717-221792-ibaraeniso-ro-gbo-do-waye-laar.wav,7.44,naijavoices,yoruba,male
DK9PX,Wetere m ATM Kaadị m n'ụtụtụ echi.,/data/naijavoices/igbo/20231213143223-25-62-11925-wetere-m-atm-kaad-m-n-tt-e.wav,3.66,naijavoices,igbo,female
T7U4B,Atara m akwụkwọ aṅara iji nweta ọbara.,/data/naijavoices/igbo/20240225214825-105-1102-336138-atara-m-akwukwo-anara-iji-nwet.wav,5.04,naijavoices,igbo,female
SUU80,Kulle get din yanzu!,/data/naijavoices/hausa/20240102094652-64-815-139921-kulle-get-din-yanzu.wav,1.62,naijavoices,hausa,male
CYSTJ,Hawayen yaro addu'ar uwa ce.,/data/naijavoices/hausa/20240112125850-67-1866-469134-hawayen-yaro-addu-ar-uwa-ce.wav,2.64,naijavoices,hausa,female
21,Adafitwaa kɛ shwɛmɔ,/data/fisd/ga/GaFm21-DAlkpH0k-Tmp077-JAWck2.wav,9.5978125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
9GH89,Olórí ilé ẹ̀kọ́ lọ́kùnrin yóò bá àwọn akẹ́kọ̀ọ́ sọ̀rọ̀ lọ́la,/data/naijavoices/yoruba/20240315014737-74-1706-440170-olori-ile-e-ko-lo-kunrin-yoo-b.wav,4.74,naijavoices,yoruba,male
YOPEA,Emefukwala ọgwụ ahụ!,/data/naijavoices/igbo/20240428065247-49-902-188684-emefukwala-ogwu-ahu.wav,2.22,naijavoices,igbo,male
H4DL2,Ó mọtí yó lánàá,/data/naijavoices/yoruba/20240307150749-141-1551-402838-o-moti-yo-lanaa.wav,1.86,naijavoices,yoruba,female
BNHWM,Nígbà tí òjò bá ń rọ̀ àti Òòrùn ń yọ jẹ́ àmì pé Ẹkùn ń bí ọmọ jẹ́ àròsọ.,/data/naijavoices/yoruba/20240210101401-138-2643-611044-nigba-ti-ojo-ba-n-ro-ati-oorun.wav,6.78,naijavoices,yoruba,female
61,kɛfee lɛ tswaa mi,/data/fisd/ga/GaFm61-EAp3kOX6-Tmp102-hQvDjb.wav,7.8378125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
UMD8T,Onye ahỊa ahụ gafere ebe a.,/data/naijavoices/igbo/20231207175836-27-66-12868-onye-aha-ah-gafere-ebe-a.wav,2.58,naijavoices,igbo,female
92IRM,Inci hamsin ne tsawo na.,/data/naijavoices/hausa/20240329055208-259-5751-1389577-inci-hamsin-ne-tsawo-na.wav,3.3,naijavoices,hausa,female
MGWAM,Ṣé wọ́n máa sọ gẹ̀ẹ́sì?,/data/naijavoices/yoruba/20240322101728-210-3832-718939-se-wo-n-maa-so-ge-e-si.wav,2.1,naijavoices,yoruba,female
