model_prompt,outputs
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: In what ways does the presentation of growth hormone deficiency vary between developing countries and developed nations?

### Response:","###Answer: The presentation of growth hormone deficiency varies between developing countries and developed nations. In developing countries, growth failure is often a late manifestation of the disease and is associated with severe stunting. In developed countries, growth failure is often the first manifestation of the disease and is associated with moderate stunting."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Question: Discuss the pathophysiology and clinical manifestations of psoriasis. How is it diagnosed and managed?

### Response:",###Answer: Psoriasis is a chronic inflammatory skin disease characterized by an unpredictable course of remissions and relapses and presence of well defined silvery white scaly papules and plaques. Lesions are typically found on the extensor surfaces and are associated with joint complaints in 50% of patients. Psoriatic lesions are associated with HLAB27 and the presence of ceain autoantibodies. The etiology is unknown but genetic and environmental factors are thought to play a role.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: In African patients, what neurological disorder is associated with neurocysticercosis infection and may present with intracranial calcifications and epilepsy?

### Response:","###Answer: Neurocysticercosis is a parasitic infection that is caused by the tapeworm Taenia solium, which is endemic in many developing countries. The infection is acquired by ingestion of food or water contaminated with the eggs of the tapeworm. The infection then spreads hematogenously to the CNS, where it can cause intracranial calcifications and epilepsy."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Which parasitic infection, endemic in parts of Africa, is associated with the development of eosinophilia and hypereosinophilic syndrome? 

### Response:","###Answer: The infection is caused by the parasite Wuchereria bancrofti, and the disease is bancroftian filariasis."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: The goal of respiration is to control the concentration of which substances dissolved in the blood?

### Response:",###Answer: Oxygen and carbon dioxide.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Which endemic infection in Africa is associated with the development of hemolytic anemia and musculoskeletal pain?

### Response:",###Answer: The findings of hemolytic anemia and musculoskeletal pain in an individual from an endemic area should raise suspicion for the possibility of a trypanosomiasis.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Discuss the etiology and management of interstitial cystitis/bladder pain syndrome (IC/BPS).

### Response:","###Answer: Interstitial cystitis/bladder pain syndrome (IC/BPS), formerly known as painful bladder syndrome, is a chronic condition characterized by pelvic pain, pressure, or discomfort that is associated with urination. The pain may be felt along the course of the ureters (ureteralgia) or in the bladder area (bladder pain syndrome). The cause of IC/BPS is unknown, but it is thought to be a combination of physical and chemical irritation of the bladder. Symptoms include a strong urge to urinate, frequent urination during the day and at night, pain or burning during urination, and a feeling of incomplete bladder emptying. Women are more often affected than men. The disorder is often misdiagnosed, and many patients receive inappropriate treatment before seeing a specialist. The diagnosis is made by excluding other conditions that cause similar symptoms. The cause of the pain is unknown, but it is thought to be a combination of physical and chemical irritation of the bladder. Symptoms include a strong urge to urinate, frequent urination during the day and at night, pain or burning during urination, and a feeling of incomplete bladder emptying. Women are more often affected than men. The disorder is often misdiagnosed, and many patients receive inappropriate treatment before seeing a specialist. The diagnosis is made by excluding other conditions that cause similar symptoms."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: If all squares are rectangles, and all rectangles have four sides, can we logically conclude that all squares have four sides?

### Response:","###Answer: No, because not all squares are rectangles, and not all rectangles have four sides. In order to make a valid deduction, all relevant premises must be true."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: How does the etiology of laryngeal cancer differ in Africa compared to other regions?

### Response:",###Answer: The etiology of laryngeal cancer in Africa is different from other regions of the world. The most common cause of laryngeal cancer in Africa is infection with the human immunodeficiency virus (HIV).
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What is the primary cause of chronic kidney disease in adults with diabetes mellitus in Africa?


### Response:",###Answer: Diabetic nephropathy is the most common cause of chronic kidney disease in sub-Saharan Africa.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Which psychiatric disorder is characterized by recurrent, intrusive thoughts or images (obsessions) and repetitive behaviors or mental acts (compulsions) performed in response to the obsessions? 

### Response:","###Answer: Obsessive-compulsive disorder (OCD) is a mental disorder characterized by obsessive thoughts and compulsive behaviors. Obsessions are defined as recurrent and persistent thoughts, impulses, or images that are upsetting to an individual. A compulsion is defined as a form of behavior that a person feels driven to perform in response to an obsession."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What are the diagnostic criteria and treatment options for a patient with bronchiectasis?

### Response:","###Answer: The patient's clinical presentation, together with corroborative findings on pulmonary function testing and chest imaging, establishes the diagnosis of bronchiectasis. The presence of chronic productive cough, recurrent hemoptysis, and/or purulent sputum production is essential for the diagnosis. The diagnosis is confirmed by visualization of the dilated bronchi on a CT scan of the chest."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What is the recommended first-line treatment for uncomplicated trachoma in Africa?


### Response:","###Answer: The WHO currently recommends the SAFE strategy for the treatment of trachoma, which includes:

S - Surgery to correct lid deformities.
A - Antibiotics to treat active trachoma.
F - Facial cleanliness to reduce transmission.
E - Environmental changes to reduce transmission."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What are some culturally specific risk factors for cardiovascular disease in African populations?

### Response:",###Answer: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of cardiovascular disease in African populations is associated with: Increased risk of card
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What is the recommended first-line treatment for uncomplicated cutaneous leishmaniasis in pregnant women in Africa?


### Response:","###Answer: Treatment of uncomplicated cutaneous leishmaniasis in pregnant women in Africa is recommended with:

Glucantime 22 mg/kg/day for 28 days + 10 mg/kg/day for 2 weeks + 5 mg/kg/day for 1 week."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Discuss the role of traditional birth attendants in maternal healthcare in African communities and potential strategies for improving maternal and neonatal outcomes.


### Response:","###Answer: Traditional birth attendants (TBAs) are community members who are generally older women. They are trained by health workers to provide some maternal and newborn care. TBAs are often the first contact for pregnant women in rural communities. They can play an important role in helping women deliver at home and in the community. However, TBAs may not be able to do things that are needed to prevent complications and reduce the risk of death for mothers and newborns."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What are the common symptoms of a migraine aura, and how do they differ from the symptoms of a stroke?

### Response:","###Answer: Migraine aura symptoms may include: Paralysis or weakness of the face or limbs. Aphasia, which is difficulty or pain in speaking. A loss of vision in one or both eyes. A sensory loss. A tingling sensation. A feeling of spinning or a sensation of floating. A migraine aura may last for hours or even days. Stroke symptoms include: Sudden onset of one or more of the following symptoms: Paralysis or weakness of the face or limbs. Aphasia, which is difficulty or pain in speaking. A loss of vision in one or both eyes. A sensory loss. A tingling sensation. A feeling of spinning or a sensation of floating. Stroke symptoms may be associated with a headache."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What percentage of familial breast cancer is thought to be linked to the BRCA-2 gene?

### Response:",###Answer: About 30% of familial breast cancers are linked to the BRCA-2 gene.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: How does the brain's cerebellum contribute to motor coordination and balance, and what are the implications for movement disorders like ataxia?

### Response:","###Answer: The cerebellum coordinates movement of the arms and legs, and it helps to keep the body balanced. The cerebellum receives input from the senses (for example, from the eyes and the proprioceptive senses in the joints and muscles) and sends output to the motor areas of the brain. The cerebellum also helps to learn motor skills."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: South Africa is currently experiencing an outbreak of Listeriosis

i) Write short notes on the clinical presentation of patients with possible Listeriosis

### Response:","###Answer: Listeriosis is a severe infection caused by the bacterium Listeria monocytogenes. It is often seen in people who are immunocompromised, including those with HIV/AIDS, the elderly, and newborns. It can also affect people who are healthy. Symptoms of listeriosis include fever, muscle pain, headache, vomiting, diarrhea, and weakness."
