sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version,requires_african_expertise
ff784abc6b461a6a15d7f8bf5e6560d3393474fe4748699ff4c7f2124292b95f,train,Male,Non-Health,Intern,NG,consumer_queries,"Your female friend complains of weight gain, high blood pressure and thinks she has Lupus Nephritis and is going to visit the nearest doctor. Question: ",Can you provide recommendations for managing stress and improving mental well-being in relation to my condition?,Can you provide recommendations for managing stress and improving mental well-being in relation to my condition?,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
acc9497c6ed60ef124601649d5147899d7f621d8bcc1c28178a5aca923c9f7eb,test,Male,,,NG,consumer_queries,"Your female coworker complains of lump in breast, changes in skin and thinks she has Breast Cancer and is going to visit the nearest doctor. Question: ",What are the signs of breast cancer?,What are the signs of breast cancer?,,,,,,,,,crowdsourced,1.0,,,,,,,,,v2,0
ba40a9d3265c21e5350ce753ea7f9a37b8e27dfe5dc6082010e8cb3fc07d2ed0,test,Female,Other Health Professions,Intern,NG,consumer_queries,"Your female friend complains of bleeding, neck pain and thinks she has Crimean-Congo Hemorrhagic Fever and is going to visit the nearest doctor. Question: ",What do you mean by saying Crimean Congo Hemorrhagic fever?How does this fever affect my level of productivity?,What do you mean by saying Crimean Congo Hemorrhagic fever?How does this fever affect my level of productivity?,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
db7389b3b2770e7993b07736906105b499ce14da281c66e8af1397cc53e6f2bd,train,Female,Non-Health,Other,NG,consumer_queries,"Your female classmate complains of itchy, red eyes and thinks she has Conjunctivitis (Allergic) and is going to visit the nearest doctor. Question: ","Are there any specific triggers or allergens that may be causing my allergic conjunctivitis, and how can I best avoid or minimize exposure to them?","Are there any specific triggers or allergens that may be causing my allergic conjunctivitis, and how can I best avoid or minimize exposure to them?",,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
d95fee0f8b410490eb1a0c20446aec9c1c40513e3b8dbc3d416782342eb190e1,train,Female,,,NG,consumer_queries,"Your male coworker complains of running stomach, bloating and thinks he has Lactose Intolerance and is going to visit the nearest doctor. Question: ","""What are some hidden sources of lactose that I should avoid?""","""What are some hidden sources of lactose that I should avoid?""",,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
a44d1526ab01231825cdba3b4f837e74d00c3202164bfdd7e73a5ddb1d78a0ad,train,Male,,,NG,consumer_queries,"Your female friend complains of vaginal bleeding, cramping and thinks she has Miscarriage and is going to visit the nearest doctor. Suggest an important question she might likely forget to ask. Please explain your question if needed. Don't ask generic questions.",What causes bleeding during pregnancy and how do I prevent its occurrence and coomplexity,What causes bleeding during pregnancy and how do I prevent its occurrence and coomplexity,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
fdde83137f0f13a668170666cfdf4874d1ab68d4a448f731c492cfd9182a04ab,train,Male,Medicine,Student,NG,consumer_queries,"Your male classmate complains of cough, runny nose, sore throat and thinks he has Respiratory Tract Infections and is going to visit the nearest doctor. Question: ",Could the cough be just flu or some serious diseases that I should be worried about?  ,Could the cough be just flu or some serious diseases that I should be worried about? ,,,Yes,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
86d42e7b851997f41fb4bab10cf0f51bbcda5e9d34efa4757384ed3315be7682,test,Male,,,NG,consumer_queries,"Your neighbor's child complains of abdominal pain, weight loss and thinks she has Worm Infestations and is going to visit the nearest doctor. Question: ",How do you investigate a worm infestation?,How do you investigate a worm infestation?,,,,,,,,,crowdsourced,0.0,True,,,,,,,,v2,0
3566c0c9ed575d22b99958150e8461eb857ba95070844ee56f01d952bb135c06,test,Female,,,PH,consumer_queries,"Your female coursemate complains of fatigue, cold sensitivity and thinks she has Hypothyroidism and is going to visit the nearest doctor. Question: ",How will you figure out my dose?,How will you figure out my dose?,,,,,,,,,crowdsourced,0.0,True,,,,,,,,v2,0
56592d8f21dc7a82945b8ebd01687f109de7c88eb12f4cd6914b7552ccb3983b,train,Male,Other Health Professions,Intern,NG,consumer_queries,"Your female neighbor complains of fatigue, weakness, shortness of breath and thinks she has Prenatal Anemia and is going to visit the nearest doctor. Suggest an important question she might likely forget to ask. Please explain your question if needed. Don't ask generic questions.",How can I modify my diet to include more iron-rich foods and improve my anemia during pregnancy?,How can I modify my diet to include more iron-rich foods and improve my anemia during pregnancy?,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
8d2c7a0d405f34fd863338ca10b9037546ec8109e59652c684179f0f56920ec6,test,Male,Other Health Professions,Student,NG,consumer_queries,"Your female friend complains of increased thirst, urination and thinks she has Diabetes Mellitus and is going to visit the nearest doctor. Question: ",Is there any specific dietary or lifestyle advice I should follow to manage my diabetes effectively?,Is there any specific dietary or lifestyle advice I should follow to manage my diabetes effectively?,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
d94ea231f0b2d01af4d5982d6ddf2f5c3c1147b565d24985b7681e8ca011f754,test,Female,Pharmacy,Student,KE,consumer_queries,Your flatmate's child complains of pimples on the face and body and thinks she has Acne Vulgaris and is going to visit the nearest doctor. Question: ,Is it safe to wear make up on my face?,Is it safe to wear make up on my face?,,,,,,,,,crowdsourced,0.0,,,,,,,,,v2,0
4f56c67dd7d6387eb787946ee3a0ce3597c31ae1f329f8b7cc81abeecb74a84d,test,Female,,,NG,consumer_queries,"Your female coworker complains of jaundice, right upper quadrant pain and thinks she has Liver Cancer and is going to visit the nearest doctor. Question: ","What are the available treatment options for liver cancer, and what are the potential side effects and outcomes associated with each","What are the available treatment options for liver cancer, and what are the potential side effects and outcomes associated with each",,,,,,,,,crowdsourced,0.0,True,,,,,,,,v2,0
b99a41bc352b852f2ab792cff69cd7181516c4c1815c9b1c932357d88bdb0176,test,Male,Health Research,Researcher,NG,consumer_queries,Your female coursemate complains of fractures with minor trauma and thinks she has Osteoporosis and is going to visit the nearest doctor. Question: ,"Doctor, please can you recommend local foods or traditional remedies that can help improve my bone strength and prevent more fractures caused by this osteoporosis?","Doctor, please can you recommend local foods or traditional remedies that can help improve my bone strength and prevent more fractures caused by this osteoporosis?",,,,,,,,,crowdsourced,0.14,,,,,,,,,v2,0
f2d258ec3ba8ee9e2e413379a30bcc9ce866ed365492b1d4aa7b83f74ab9b074,train,Female,Non-Health,Other,NG,consumer_queries,"Your female friend complains of sore throat, chest pain and thinks she has Lassa fever and is going to visit the nearest doctor. Question: ",What precautions should I take to prevent spreading Lassa fever?,What precautions should I take to prevent spreading Lassa fever?,,,,,,,,,crowdsourced,0.0,True,,,,,,,,v2,0
