model_prompt,outputs
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: In what ways does the presentation of growth hormone deficiency vary between developing countries and developed nations?

### Response:","###Answer: Growth hormone deficiency presents differently in developing countries compared to developed countries. In developing countries, the most common cause of short stature is chronic malnutrition and infectious diseases, while in developed countries, the most common cause is insufficient growth hormone."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Question: Discuss the pathophysiology and clinical manifestations of psoriasis. How is it diagnosed and managed?

### Response:","###Answer: Psoriasis is a chronic dermatosis characterized by an unpredictable course of remissions and relapses and presence at typical sites of papules and plaques which are: well defined, erythematous, dry, and covered with large, silvery, loose scales."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: In African patients, what neurological disorder is associated with neurocysticercosis infection and may present with intracranial calcifications and epilepsy?

### Response:","###Answer: The most common cause of intracranial calcification in sub-Saharan Africa is neurocysticercosis. This infection is caused by the larval stage of the tapeworm Taenia solium. Humans acquire the infection by ingesting the eggs of the tapeworm. The eggs hatch in the duodenum and then travel to the brain where they develop into cysticerci. The cysticerci then develop into adult tapeworms, which can live in the brain for up to 30 years. The clinical presentation of neurocysticercosis depends on the number of cysticerci present and the location of the cysts. Seizures are the most common presenting symptom, and they are associated with intracranial calcifications seen on neuroimaging. Other symptoms include headaches, altered mental status, and focal neurologic deficits.

###Answer: OPTION D IS CORRECT."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Which parasitic infection, endemic in parts of Africa, is associated with the development of eosinophilia and hypereosinophilic syndrome? 

### Response:","###Answer: Strongyloidiasis, a helminthic infection that is endemic in parts of Africa, the Caribbean, and South America, may induce the development of eosinophilic pneumonia and hypereosinophilic syndrome. The eosinophilic syndrome may be secondary to parasitic infections, drugs, or malignancy.

###Answer: OPTION D IS CORRECT."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: The goal of respiration is to control the concentration of which substances dissolved in the blood?

### Response:","###Answer: The goal of respiration is to control the concentration of oxygen and carbon dioxide in the blood.

###Answer: OPTION A IS CORRECT."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Which endemic infection in Africa is associated with the development of hemolytic anemia and musculoskeletal pain?

### Response:",###Answer: Sickle cell disease.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: Discuss the etiology and management of interstitial cystitis/bladder pain syndrome (IC/BPS).

### Response:","###Answer: #IC/BPS is a syndrome characterized by chronic pelvic pain, urinary frequency and urgency, and nocturia. It is commonly seen in women. The etiology is unknown. #Diagnostic criteria include a painful cystitis with greater than 100 mL of post voidal residual urine. #Treatment options include bladder instillation of a variety of agents including intravesical dimethyl-sulfoxide, intravesical hyaluronic acid, intravesical nerve blocks, and intravesical or systemic opioids. #Surgical therapy includes neurourologic procedures, bladder augmentation, and neuromodulation."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: If all squares are rectangles, and all rectangles have four sides, can we logically conclude that all squares have four sides?

### Response:",###Answer: A square is a special rectangle with four equal sides.
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: How does the etiology of laryngeal cancer differ in Africa compared to other regions?

### Response:","###Answer: Laryngeal cancer is a malignant neoplasm that affects the epithelial cells of the larynx. The etiology of laryngeal cancer is multifactorial, with environmental and genetic factors playing a role. Smoking and alcohol consumption are major risk factors for laryngeal cancer. Human papillomavirus (HPV) infection is also a well-established risk factor for laryngeal cancer. In Africa, the prevalence of laryngeal cancer is less than in other regions, and the etiology of laryngeal cancer in Africa is not well established. However, the incidence of laryngeal cancer is increasing in Africa, and HPV-16 and HPV-18 have been detected in laryngeal cancer patients in Africa. Therefore, the etiology of laryngeal cancer in Africa may be different from that in other regions and is likely to increase in the future."
"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Given your profession as a doctor, please provide a response to the medical query.

### Input:
###Question: What is the primary cause of chronic kidney disease in adults with diabetes mellitus in Africa?


### Response:",###Answer: Type 2 diabetes mellitus is the primary cause of chronic kidney disease in adults with diabetes mellitus in Africa.
