sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",4,D,Laparoscopic adjustable gastric banding (LAGB),Roux-en-Y gastric bypass (RYGB),laparoscopic sleeve gastrectomy (LSG),biliopancreatic diversion with duodenal switch (BPDS),,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?


###Options:
A.  Laparoscopic adjustable gastric banding (LAGB)
B.  Roux-en-Y gastric bypass (RYGB)
C.  laparoscopic sleeve gastrectomy (LSG)
D.  biliopancreatic diversion with duodenal switch (BPDS)

###Answer:","D. biliopancreatic diversion with duodenal switch (BPDS)

Rationale:
Biliopancreatic diversion with duodenal switch (BPDS) is a bariatric procedure that is known to have a significant malabsorptive component. This procedure involves removing a large portion of the stomach and rerouting the small intestine in a way that reduces the amount of nutrients and calories absorbed by the body. Because of this, BPDS is associated with a higher risk of nutritional deficiencies, including deficits in protein, vitamins, and minerals, compared to other bariatric surgeries. Laparoscopic adjustable gastric banding (LAGB) and laparoscopic sleeve gastrectomy (LSG) are more restrictive procedures with less impact on nutrient absorption, while Roux-en-Y gastric bypass (RYGB) has both restrictive and mild malabsorptive components, but not to the degree seen in BPDS. Therefore, BPDS is most likely to produce adverse malabsorptive nutritional sequelae among the options given.",D,True
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

",Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,4,B,BMI 32 and Type II diabetes,BMI 37 and obstructive sleep apnea,BMI 37 and hypertension,BMI 46 and no identifiable co-morbidities,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?


###Options:
A.  BMI 32 and Type II diabetes
B.  BMI 37 and obstructive sleep apnea
C.  BMI 37 and hypertension
D.  BMI 46 and no identifiable co-morbidities

###Answer:","D

Rationale: 
Bariatric surgery in adolescents is typically considered when the individual has failed to achieve a healthy weight loss through diet and lifestyle changes, and meets specific medical criteria. According to guidelines, one indication for weight loss surgery in adolescents is a BMI of ≥40 kg/m² regardless of co-morbidities. Alternatively, it can be considered with a BMI of ≥35 kg/m² if there are serious co-morbidities present. In this scenario, option D indicates a BMI of 46, which meets the criteria for consideration of surgical intervention without the need for additional co-morbidities. Options A, B, and C do not meet the BMI threshold for surgery based on co-morbid conditions.",D,False
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",4,C,Obese,Normal,Overweight,Severely obese,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: 
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?


###Options:
A.  Obese
B.  Normal
C.  Overweight
D.  Severely obese

###Answer:","C. Overweight

Rationale: Body Mass Index (BMI) percentiles are used to assess weight status in children and adolescents. According to the Centers for Disease Control and Prevention (CDC), a child or adolescent with a BMI between the 85th and 94th percentiles is classified as overweight. Since the 15-year-old female in the question has a BMI that places her on the 90th percentile for her age, she falls into the ""overweight"" category. An individual is typically classified as obese if their BMI is at or above the 95th percentile for children and teenagers of the same age and sex.",C,True
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

",A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,4,D,"Discharge when well with catheter in situ, and follow up at 1 week for removal",Removal of catheter 24 to 48 hours post op and discharge if good urinary stream,Inpatient ultrasound and discharge if normal,Voiding cystourethrogram after removal of catheter at 10 to 14 days post op,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?


###Options:
A.  Discharge when well with catheter in situ, and follow up at 1 week for removal
B.  Removal of catheter 24 to 48 hours post op and discharge if good urinary stream
C.  Inpatient ultrasound and discharge if normal
D.  Voiding cystourethrogram after removal of catheter at 10 to 14 days post op

###Answer:","Answer: D

Rationale: After surgical resection of a patent urachus and bladder closure in an infant, careful monitoring and evaluation of the urinary system are important to ensure there are no complications such as leaks or obstructions. A voiding cystourethrogram (VCUG) is a specialized imaging test that provides detailed information about the function and integrity of the bladder and urethra. Performing a VCUG after removal of the catheter at 10 to 14 days post-op helps assess the success of the procedure, confirm that healing is proceeding appropriately, and ensure there's no evidence of urine leakage or other complications. It is a standard practice to ensure the bladder and urinary system are functioning properly before complete discharge.",A,False
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?",Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,4,D,Suture ligate the patent urachus at the umbilicus,Ligate and divide the patent urachus at the dome of the bladder,Resect the entire patent urachus and ligate and divide at the dome of the bladder,"Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair",,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?
###Options:
A.  Suture ligate the patent urachus at the umbilicus
B.  Ligate and divide the patent urachus at the dome of the bladder
C.  Resect the entire patent urachus and ligate and divide at the dome of the bladder
D.  Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

###Answer:","Answer: D

Rationale: A patent urachus is a congenital anomaly where there is an abnormal connection between the bladder and the umbilicus, leading to urine drainage through the umbilicus. The most effective and definitive treatment for this condition is to excise the entire patent urachus tract. Option D provides a comprehensive surgical approach by not only excising the urachal tract but also performing a wedge resection at the dome of the bladder and a formal bladder repair. This method ensures the removal of all abnormal tissue and prevents future complications, such as infection or urinary issues.",A,False
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

",The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,4,D,adhesive bowel obstruction,omphalomesenteric duct remnant,internal hernia,remnant of the omphalomesenteric artery,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?


###Options:
A.  adhesive bowel obstruction
B.  omphalomesenteric duct remnant
C.  internal hernia
D.  remnant of the omphalomesenteric artery

###Answer:","B. omphalomesenteric duct remnant

Rationale: In a young child presenting with bowel obstruction, discovering a loop of small intestine volvulated around a fibrous band extending from the umbilicus to the jejunum suggests the presence of an omphalomesenteric duct remnant, also known as Meckel's diverticulum. This remnant is a vestigial structure derived from the embryologic omphalomesenteric duct (or vitelline duct) and can remain as a fibrous band, leading to volvulus or other intestinal complications such as obstruction. Other options, such as adhesive bowel obstruction, internal hernia, or remnant of the omphalomesenteric artery, are less likely given the specific description provided in the question.",B,False
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",4,C,Surgical debridement,Incision and drainage,Intravenous antibiotics,Oral antibiotics and observation,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?
###Options:
A.  Surgical debridement
B.  Incision and drainage
C.  Intravenous antibiotics
D.  Oral antibiotics and observation

###Answer:","Answer: C

Rationale: The symptoms presented, including fever, tachycardia, and erythema around the umbilicus in a newborn, suggest a potential umbilical infection or omphalitis, which can rapidly progress to sepsis in this age group. The immediate management involves initiating intravenous antibiotics to treat the infection effectively and prevent systemic involvement or further complications. Surgical options like debridement or incision and drainage are not immediately indicated without signs of abscess formation or tissue necrosis, and oral antibiotics with observation would be insufficient for a newborn with signs of systemic infection.",A,False
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

",The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,4,C,Apply daily chlorhexidine to the cord,Suture ligated the excess cord,Investigate for neutrophil mobility defects,Investigate for vertical transmission of HIV,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?


###Options:
A.  Apply daily chlorhexidine to the cord
B.  Suture ligated the excess cord
C.  Investigate for neutrophil mobility defects
D.  Investigate for vertical transmission of HIV

###Answer:","C. Investigate for neutrophil mobility defects

 Rationale:
The delayed separation of the umbilical cord in a 2-month-old infant can be a sign of an underlying immunological defect, particularly in neutrophil function. One of the conditions that could cause this delayed separation is Leukocyte Adhesion Deficiency (LAD), a disorder involving defects in leukocyte mobility. This condition leads to poor wound healing and increased susceptibility to infections, and it is characterized by issues such as neutrophil mobility defects. Hence, it would be appropriate to investigate for neutrophil mobility defects in this clinical context.",C,True
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

",Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,4,B,Meckel diverticulum originating from the urachus,Umbilical polyp originating from remnants of the omphalomesenteric duct,Umbilical granuloma originating from the omphalomesenteric vein,Patent urachus originating from the allantois,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?


###Options:
A.  Meckel diverticulum originating from the urachus
B.  Umbilical polyp originating from remnants of the omphalomesenteric duct
C.  Umbilical granuloma originating from the omphalomesenteric vein
D.  Patent urachus originating from the allantois

###Answer:","D. Patent urachus originating from the allantois

Rationale: To answer this question, we need to understand the origins of different congenital anomalies relating to embryological structures. The urachus is a remnant of the allantois, which is part of embryonic development. A patent urachus is an embryological anomaly where the urachus fails to close after birth, resulting in a persistent connection between the bladder and the umbilicus, potentially causing urine to leak from the umbilicus. This is correctly paired in option D.

- Meckel diverticulum (Option A) originates from the omphalomesenteric duct (vitelline duct), not the urachus.
- An umbilical polyp (Option B) typically comes from remnants of the omphalomesenteric duct, but it's not specifically the mechanism described here.
- An umbilical granuloma (Option C) is a benign overgrowth of tissue at the umbilicus, more directly related to an irritation or inflammation, not directly originating from the omphalomesenteric vein.",D,False
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",4,D,Cardiac contusion,Fat embolism,Aspiration pneumonia,Pulmonary contusion,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

Here are some examples and then answer the last question:

Question: Which of the following conditions is characterized by chronic inflammation of the joints?
A) Osteoarthritis  
B) Rheumatoid arthritis  
C) Gout  
D) Lupus  
E) Fibromyalgia  
###Answer: B

Question: What is the primary function of the kidneys?  
A) Producing digestive enzymes  
B) Filtering waste from the blood  
C) Regulating blood sugar levels  
D) Producing red blood cells  
###Answer: B

Question: Can viral infections be treated with antibiotics?  
A) Yes  
B) No  
###Answer: B



###Question: A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?

###Options:
A.  Cardiac contusion
B.  Fat embolism
C.  Aspiration pneumonia
D.  Pulmonary contusion

###Answer:","Answer: B

Rationale: 
The child has suffered long bone fractures, which increases the risk of fat embolism syndrome (FES). Fat embolism is a known complication of long bone fractures, such as femur fractures, and can lead to respiratory distress due to fat globules obstructing pulmonary circulation. The clinical presentation of hypoxemia (low oxygen saturation) and respiratory distress in the absence of apparent chest trauma or infection points towards FES. Other options, such as cardiac contusion or pulmonary contusion, would typically result from direct trauma to the chest, which is not indicated here. Aspiration pneumonia generally develops over a different time course and would typically be associated with clinical signs of aspiration. Thus, the most likely cause for her respiratory distress in this scenario is fat embolism.",A,False
