sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",4,D,Laparoscopic adjustable gastric banding (LAGB),Roux-en-Y gastric bypass (RYGB),laparoscopic sleeve gastrectomy (LSG),biliopancreatic diversion with duodenal switch (BPDS),,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?


###Options:
A.  Laparoscopic adjustable gastric banding (LAGB)
B.  Roux-en-Y gastric bypass (RYGB)
C.  laparoscopic sleeve gastrectomy (LSG)
D.  biliopancreatic diversion with duodenal switch (BPDS)

###Answer:","D. Biliopancreatic diversion with duodenal switch (BPDS)

**Rationale:** Biliopancreatic diversion with duodenal switch (BPDS) is the bariatric procedure most associated with malabsorptive nutritional consequences. This procedure involves both restriction of stomach size and a bypass of a substantial portion of the small intestine, significantly reducing nutrient absorption. Patients undergoing BPDS have a higher risk of deficiencies in fat-soluble vitamins (A, D, E, K), minerals like calcium and iron, and proteins, necessitating lifelong nutritional supplementation and monitoring. 

In contrast, laparoscopic adjustable gastric banding (LAGB) primarily creates restriction without malabsorption, while Roux-en-Y gastric bypass (RYGB) involves moderate malabsorption. Laparoscopic sleeve gastrectomy (LSG) mainly functions through restriction and hormonal changes, with minimal malabsorptive effects. Therefore, BPDS is the most likely to produce malabsorptive nutritional sequelae.",D,True,0.25373133887280025,0.04938271187928705,0.2238805926041435,0.8401762,0.88753945,0.86320865
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

",Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,4,B,BMI 32 and Type II diabetes,BMI 37 and obstructive sleep apnea,BMI 37 and hypertension,BMI 46 and no identifiable co-morbidities,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?


###Options:
A.  BMI 32 and Type II diabetes
B.  BMI 37 and obstructive sleep apnea
C.  BMI 37 and hypertension
D.  BMI 46 and no identifiable co-morbidities

###Answer:","D. BMI 46 and no identifiable co-morbidities

### Rationale:
The selection of patients for weight loss surgery, such as bariatric surgery, particularly in adolescents, follows stringent criteria given the significant impact and irreversible nature of the procedure. Generally, candidates must meet specific requirements regarding their body mass index (BMI) and the presence of co-morbid conditions.

For adolescents, surgery is often considered in those with:
- A BMI of 40 or higher, regardless of co-morbidities
- Or a BMI of 35 or higher with significant obesity-related co-morbidities such as type 2 diabetes, severe obstructive sleep apnea, or poorly controlled hypertension despite medical management.

Option D (BMI 46 and no identifiable co-morbidities) represents a patient with a BMI high enough to meet criteria for consideration of weight loss surgery even in the absence of co-morbidities. Options A, B, and C describe scenarios where the BMI is not quite as elevated (less than 40); although co-morbid conditions are present, they are not sufficiently severe or medically complex in this context to independently warrant surgical intervention without that higher BMI threshold or more severe impact on health. Therefore, option D is correct because the BMI alone is an indication for surgical consideration, while keeping in mind the thorough evaluation of risks, benefits, and potential outcomes as part of the clinical decision-making process.",D,False,0.11249999820000002,0.009009007671455438,0.08749999820000004,0.7936206,0.87170386,0.83083165
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",4,C,Obese,Normal,Overweight,Severely obese,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: 
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?


###Options:
A.  Obese
B.  Normal
C.  Overweight
D.  Severely obese

###Answer:","C. Overweight

### Rationale:
Body Mass Index (BMI) is used to categorize weight status, and for children and adolescents, BMI is assessed relative to a growth chart based on age and sex. The BMI percentile is used instead of a fixed numeric value. 

- A BMI at or above the 95th percentile typically indicates obesity.
- A BMI between the 85th and 94th percentile is classified as overweight.
- A BMI between the 5th and 84th percentile is considered normal.
- Severely obese is often used for those well above the 95th percentile.

Since this patient's BMI falls on the 90th percentile, she would be classified as ""Overweight"".",C,True,0.25999999580000005,0.046511623952887785,0.1799999958000001,0.8326245,0.85811055,0.8451754
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

",A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,4,D,"Discharge when well with catheter in situ, and follow up at 1 week for removal",Removal of catheter 24 to 48 hours post op and discharge if good urinary stream,Inpatient ultrasound and discharge if normal,Voiding cystourethrogram after removal of catheter at 10 to 14 days post op,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?


###Options:
A.  Discharge when well with catheter in situ, and follow up at 1 week for removal
B.  Removal of catheter 24 to 48 hours post op and discharge if good urinary stream
C.  Inpatient ultrasound and discharge if normal
D.  Voiding cystourethrogram after removal of catheter at 10 to 14 days post op

###Answer:","### Answer: B. Removal of catheter 24 to 48 hours post op and discharge if good urinary stream

### Rationale:
Following the surgical repair of a patent urachus and bladder closure in an infant, it is vital to ensure that the bladder is functioning properly and that the surgical site is healing well before discharge. A transurethral catheter is typically left in place temporarily to ensure continuous bladder drainage and to reduce pressure on the surgical site.

Option B, which involves the removal of the catheter 24 to 48 hours post-operation, is a common practice to evaluate the integrity and function of the bladder in a controlled setting. If the infant demonstrates a good urinary stream and there are no complications such as urinary retention or leakage, the patient can be safely discharged. This allows any issues to be addressed promptly while the child is still under close clinical observation.

Options A and C do not provide for adequate initial post-operative evaluation of bladder function with the catheter removed. Option D involves a voiding cystourethrogram, which may be more appropriate if there are concerns about bladder function or integrity following initial catheter removal, rather than as a standard post-operative step in a straightforward recovery.",B,False,0.2027026999853908,0.03791468985422621,0.1756756729583638,0.80814016,0.8566889,0.83170664
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?",Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,4,D,Suture ligate the patent urachus at the umbilicus,Ligate and divide the patent urachus at the dome of the bladder,Resect the entire patent urachus and ligate and divide at the dome of the bladder,"Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair",,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?
###Options:
A.  Suture ligate the patent urachus at the umbilicus
B.  Ligate and divide the patent urachus at the dome of the bladder
C.  Resect the entire patent urachus and ligate and divide at the dome of the bladder
D.  Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

###Answer:","###Answer: 
D. Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

###Rationale:
A patent urachus is a congenital condition where there is a failure of the urachus, a duct between the bladder and the umbilicus, to close after birth. This condition results in urine leaking from the umbilicus. 

The most appropriate surgical treatment involves complete removal of the patent urachus. This is to prevent recurrent infections, persistent discharge, or potential future complications such as urachal cyst or carcinoma. 

Therefore, option D, which involves excising the patent urachus and performing a wedge resection at the dome of the bladder with a formal bladder repair, is the correct procedure. This approach ensures that the urachal remnant is fully removed and any defect in the bladder is appropriately repaired to prevent complications. Options A and B are not comprehensive enough to address these concerns fully, and option C, while closer, does not include a resection at the dome of the bladder, which is crucial for complete correction of the anomaly.",D,True,0.15384615148513406,0.05952380770479031,0.15384615148513406,0.8096479,0.8665837,0.83714885
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

",The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,4,D,adhesive bowel obstruction,omphalomesenteric duct remnant,internal hernia,remnant of the omphalomesenteric artery,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?


###Options:
A.  adhesive bowel obstruction
B.  omphalomesenteric duct remnant
C.  internal hernia
D.  remnant of the omphalomesenteric artery

###Answer:","B. omphalomesenteric duct remnant

###Rationale:
In a 3-year-old child with bowel obstruction, finding a fibrous band extending from the umbilicus to the jejunum is suggestive of a remnant of the omphalomesenteric (vitelline) duct. During fetal development, the omphalomesenteric duct connects the yolk sac to the midgut, and it typically obliterates. If it fails to completely obliterate, various anomalies can occur, such as Meckel's diverticulum or a fibrous band. This band can cause a volvulus or obstruction, as seen in this scenario.

Adhesive bowel obstructions are usually associated with previous surgeries, which is not applicable in this case as the child has no surgical history. An internal hernia involves bowel loops trapped in abnormal peritoneal recesses or defects, which does not align with the described finding. The remnant of the omphalomesenteric artery is less likely to cause significant fibrous bands leading to the volvulus observed here. Therefore, the omphalomesenteric duct remnant is the most likely cause.",B,False,0.29921259465558936,0.1363636331772986,0.28346456315952634,0.8301413,0.8886015,0.85837716
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",4,C,Surgical debridement,Incision and drainage,Intravenous antibiotics,Oral antibiotics and observation,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?
###Options:
A.  Surgical debridement
B.  Incision and drainage
C.  Intravenous antibiotics
D.  Oral antibiotics and observation

###Answer:","C. Intravenous antibiotics

###Rationale:

The symptoms described in the question—fever, tachycardia, and erythema around the umbilicus—are indicative of omphalitis, a bacterial infection of the umbilical stump in the newborn. This condition can rapidly lead to serious complications such as sepsis if not promptly treated. 

The immediate management for omphalitis with systemic symptoms is the administration of intravenous antibiotics. This approach ensures that the medication is delivered quickly and effectively into the bloodstream, providing a more rapid response to the infection compared to oral antibiotics. Surgical interventions like debridement or incision and drainage are not first-line treatments for uncomplicated cases of omphalitis unless there is an abscess or necrotic tissue that needs addressing, which is not specifically mentioned in this scenario. Therefore, the correct choice to initiate treatment and stabilize the infant is C, intravenous antibiotics.",C,True,0.20312499625000005,0.05952380615646278,0.18749999625000005,0.824414,0.86694396,0.8451443
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

",The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,4,C,Apply daily chlorhexidine to the cord,Suture ligated the excess cord,Investigate for neutrophil mobility defects,Investigate for vertical transmission of HIV,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?


###Options:
A.  Apply daily chlorhexidine to the cord
B.  Suture ligated the excess cord
C.  Investigate for neutrophil mobility defects
D.  Investigate for vertical transmission of HIV

###Answer:","C. Investigate for neutrophil mobility defects

### Rationale:
The delayed separation of the umbilical cord beyond three weeks, especially when accompanied by recurrent or severe infections like a lower respiratory tract infection in a young infant, raises suspicion for disorders of neutrophil function. One such condition is Leukocyte Adhesion Deficiency (LAD), where there is a defect in neutrophil mobility and adhesion. This results in poor immune responses and is often characterized by delayed umbilical cord separation and increased infection risk.

Applying chlorhexidine to the cord (option A) is generally for keeping the area clean but does not address the underlying issue of delayed separation related to immune deficiencies. Suturing (option B) is not a relevant intervention for this case and would not aid in the separation process or address the immune deficiency. Investigating vertical transmission of HIV (option D) is part of routine care in certain settings but does not specifically explain the combination of delayed cord separation and severe infections like the scenario described, much less in relation to neutrophil function. Thus, option C is the most appropriate course of action under these clinical circumstances.",C,True,0.18666666316088892,0.05797101174729878,0.146666663160889,0.81894404,0.8805885,0.84864825
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

",Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,4,B,Meckel diverticulum originating from the urachus,Umbilical polyp originating from remnants of the omphalomesenteric duct,Umbilical granuloma originating from the omphalomesenteric vein,Patent urachus originating from the allantois,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?


###Options:
A.  Meckel diverticulum originating from the urachus
B.  Umbilical polyp originating from remnants of the omphalomesenteric duct
C.  Umbilical granuloma originating from the omphalomesenteric vein
D.  Patent urachus originating from the allantois

###Answer:","D. Patent urachus originating from the allantois

**Rationale:** 
In embryological development, various structures can persist if they fail to regress appropriately. 

- **Meckel diverticulum** is indeed related to remnants of the omphalomesenteric duct (also known as the vitelline duct), not the urachus, so option A is incorrect.
  
- An **umbilical polyp** can indeed arise from remnants of the omphalomesenteric duct, but it is not commonly referred to as such in the context of the question; hence, option B is not the best paired answer among the choices.
  
- An **umbilical granuloma** typically arises from granulation tissue as part of an exaggerated healing response and is not related to blood vessels like the omphalomesenteric vein, so option C is incorrect.
  
- A **patent urachus** results from the failure of the allantois to obliterate, leading to a connection between the bladder and the umbilicus. This is a well-defined and classic example of a congenital anomaly tied to its originating structure, making D the correct option.",D,False,0.20799999680000006,0.07999999715918378,0.20799999680000006,0.8235005,0.9085679,0.86394525
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",4,D,Cardiac contusion,Fat embolism,Aspiration pneumonia,Pulmonary contusion,,"###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?

###Options:
A.  Cardiac contusion
B.  Fat embolism
C.  Aspiration pneumonia
D.  Pulmonary contusion

###Answer:","B. Fat embolism

**Rationale:** In the scenario described, the child has sustained fractures in her right femur and bilateral tibiae, which are long bones. Fractures of long bones can lead to fat embolism syndrome (FES), especially in the setting of trauma. Fat embolism can cause respiratory distress characterized by hypoxemia (as reflected by the drop in oxygen saturation) and respiratory symptoms like subcostal retractions. The lack of rib or sternal fractures and the absence of pneumothorax or hemothorax on the chest radiograph make pulmonary contusion less likely. Cardiac contusion would more likely present with arrhythmias or other cardiac symptoms, and aspiration pneumonia would not develop this quickly unless witnessed aspiration occurred. The pattern of the symptoms and the timing in relation to the fractures make fat embolism the most likely cause in this clinical scenario.",B,False,0.17808218699193107,0.039999995450000526,0.1643835568549448,0.82096356,0.84598255,0.8332853
